,authorID,projectContributions,methodsWritten,noOfClones,relativeClones,methodsWrittenCat,projectContributionsCat,developerExperienceNum,developerExperience
217,016e4a89-61f4-3b5a-bfd0-c06fc33822f5,2,94,47,0.5,4,1,2.5,Medium
225,017842c2-7752-cec2-b455-db4ad08ed2d3,2,18,5,0.2777777777777778,2,1,1.5,Low
228,017c71e8-256f-2f0b-68d6-1cb1c163e6a4,4,26,2,0.0769230769230769,2,2,2.0,Medium
232,017e07be-bb0d-ad9f-7f14-ea5a6881959a,3,45,14,0.3111111111111111,3,1,2.0,Medium
235,0181e242-f4aa-1dc3-e239-4d6f94523162,2,5,2,0.4,1,1,1.0,Low
238,018536c4-ea61-f206-b9d3-1986dbdebbda,2,15,7,0.4666666666666667,2,1,1.5,Low
253,019d5c70-ad3c-3505-6427-e10c46eaec3c,3,28,13,0.4642857142857143,2,1,1.5,Low
254,019dac94-c1f3-2674-5aef-258ef916ccdf,4,108,25,0.2314814814814814,4,2,3.0,High
268,01b13012-d692-e7a5-5688-09d6239b9b50,3,58,23,0.396551724137931,4,1,2.5,Medium
271,01b6b1cf-b172-10c4-e44e-803bf0bb561f,2,115,16,0.1391304347826087,4,1,2.5,Medium
272,01b6ce75-ac80-08d2-28d0-280c82d86866,2,117,0,0.0,4,1,2.5,Medium
273,01b7004d-7448-3f6c-c680-3d101babc450,8,79,1,0.0126582278481012,4,4,4.0,High
282,01c37aba-1e7e-dae6-8db2-40bbee24f986,3,57,2,0.0350877192982456,4,1,2.5,Medium
284,01cc3294-db73-8eb5-2f5b-467c7a53b24f,2,7,2,0.2857142857142857,2,1,1.5,Low
291,01d9484a-c64d-2216-3ee5-d4cc58a2232e,4,62,0,0.0,4,2,3.0,High
301,01e50aeb-1a62-61ee-3719-30bf436874eb,3,108,17,0.1574074074074074,4,1,2.5,Medium
318,0200d990-6c1c-ffb7-dd3f-0dea65c54290,4,11,4,0.3636363636363636,2,2,2.0,Medium
320,02057205-573c-92e5-44d3-db4266fbeff4,4,64,42,0.65625,4,2,3.0,High
322,02065ebb-0c77-d9f8-d655-843c25a9ff39,2,21,0,0.0,2,1,1.5,Low
327,020b016c-b921-d632-895d-737bcaea3d16,2,160,15,0.09375,4,1,2.5,Medium
333,020d4391-7729-897f-612a-2edc608eb613,4,118,1,0.0084745762711864,4,2,3.0,High
334,02102add-8e4d-af33-895a-6cf707f62c05,5,9,5,0.5555555555555556,2,2,2.0,Medium
335,0213c3ff-7d89-b44c-0deb-3a5c3d27fa6b,2,18,9,0.5,2,1,1.5,Low
336,02167261-49f7-e45c-4194-d6a3568abc86,3,101,27,0.2673267326732673,4,1,2.5,Medium
339,0219d4df-817f-2dbd-da26-28202011c275,2,18,0,0.0,2,1,1.5,Low
344,022102ad-7ae7-6200-c210-943aca56e22f,2,33,2,0.0606060606060606,3,1,2.0,Medium
349,022b79d6-7c02-b9f9-ea12-346963d5bd18,2,6,0,0.0,2,1,1.5,Low
359,02420ef8-8c55-2038-8572-d1e6d70a639c,2,5,0,0.0,1,1,1.0,Low
361,02460fc4-4089-6ea1-92e1-876a49064768,2,184,173,0.9402173913043478,4,1,2.5,Medium
365,024c7bcc-cd02-cda1-d07b-2d4889553a58,2,127,37,0.2913385826771653,4,1,2.5,Medium
367,02500c6f-ecea-fbfa-a5e4-eb1087ec0a1d,2,5,0,0.0,1,1,1.0,Low
368,0251324c-0563-2719-4541-b0cec25dd6d2,2,14,5,0.3571428571428571,2,1,1.5,Low
369,02524085-5a5b-8475-e1a8-97f6dd068db6,2,10,7,0.7,2,1,1.5,Low
376,025fa12b-1182-84b5-52a9-44e5ce37fa9a,2,15,7,0.4666666666666667,2,1,1.5,Low
379,02631d41-3c4f-03ee-b969-ce8d20a40b22,2,53,0,0.0,4,1,2.5,Medium
384,02667ac2-dafc-1739-aff0-634a3ebec101,3,8,1,0.125,2,1,1.5,Low
390,026cfad4-a07b-bf95-8e5b-29c5897059bf,3,151,52,0.3443708609271523,4,1,2.5,Medium
395,0270b75a-096a-cdb2-2ff0-86fd0c3e936a,4,6,3,0.5,2,2,2.0,Medium
401,0279a9e7-78fd-fd24-982f-fff9b7edf128,2,7,0,0.0,2,1,1.5,Low
410,02842415-debc-3a62-cb97-1ba2a8652afe,2,15,1,0.0666666666666666,2,1,1.5,Low
416,029211c3-a6b1-6154-dbe9-d34c37f0bd79,3,37,7,0.1891891891891892,3,1,2.0,Medium
420,02941da7-c851-8f14-cd14-96ae509fa4c9,5,119,35,0.2941176470588235,4,2,3.0,High
423,0296e9b3-bcb8-9b9c-9a03-c6c89fa7a099,2,30,3,0.1,2,1,1.5,Low
426,0298a262-cac5-e4da-369b-79366946202e,2,14,0,0.0,2,1,1.5,Low
436,02aa887c-e33d-27e8-cc52-5df99702204f,2,8,2,0.25,2,1,1.5,Low
438,02aefe56-c6f5-59ea-803b-7f3cb639bd16,3,80,52,0.65,4,1,2.5,Medium
440,02b179ef-df47-5450-715c-c8d9b93e2dd1,2,21,2,0.0952380952380952,2,1,1.5,Low
444,02b4069b-7d5f-8aa4-e6f3-85a5fe0657d9,2,11,6,0.5454545454545454,2,1,1.5,Low
447,02b6942f-61d0-4a54-d108-154f3edb104b,5,150,142,0.9466666666666668,4,2,3.0,High
448,02b84d79-5bfe-ea23-da04-0c02f46bdf68,2,8,0,0.0,2,1,1.5,Low
449,02ba9607-dd44-af65-e93b-f1843a625ac5,2,16,3,0.1875,2,1,1.5,Low
450,02bb90df-5c30-5a8c-1c0d-59b0b04d25ee,2,6,5,0.8333333333333334,2,1,1.5,Low
451,02bcc412-1527-ed11-8883-6b05540944c3,2,6,3,0.5,2,1,1.5,Low
452,02bcfb07-0b3e-185f-6590-5146c5010fe3,6,150,128,0.8533333333333334,4,3,3.5,High
456,02c310ef-4a46-d494-f094-ca5a45d30030,2,144,57,0.3958333333333333,4,1,2.5,Medium
459,02c5cf60-dee8-2baf-b6cc-65253356b715,3,7,2,0.2857142857142857,2,1,1.5,Low
462,02c9d903-6371-a048-0c35-77531a5fa31e,2,25,6,0.24,2,1,1.5,Low
468,02d20588-8dff-a488-32a3-f56100de0af9,2,99,39,0.3939393939393939,4,1,2.5,Medium
477,02d92c41-42d2-14bb-2370-1a14b97d774c,2,14,13,0.9285714285714286,2,1,1.5,Low
479,02da910b-8694-a9fb-d160-70b551a1daff,2,5,1,0.2,1,1,1.0,Low
481,02dc3e4c-1b9b-8caf-6545-2e474866212b,3,101,4,0.0396039603960396,4,1,2.5,Medium
484,02dec7e5-98cc-200d-1af7-e9ab0d72b279,3,49,0,0.0,3,1,2.0,Medium
487,02e3b3ac-84ff-5910-3a77-352d6b1a0037,3,115,109,0.9478260869565216,4,1,2.5,Medium
498,02f2b04c-f114-f4ce-30d1-d558880d9c5f,3,74,41,0.5540540540540541,4,1,2.5,Medium
500,02f67e1f-2b17-46f6-25fb-1a01b939a72b,3,39,22,0.5641025641025641,3,1,2.0,Medium
507,0300a7c2-feaf-8dbe-6603-15a02d21e299,3,44,0,0.0,3,1,2.0,Medium
509,03050642-7c04-e849-eaca-6f6eb9daf374,4,11,4,0.3636363636363636,2,2,2.0,Medium
521,03128e2b-539e-8e4d-b8c7-b8dc20e69474,2,54,0,0.0,4,1,2.5,Medium
523,031387c6-23a4-407a-7877-52b8070ce01e,2,10,0,0.0,2,1,1.5,Low
526,03184d2f-478b-475b-352f-f6a31643cef1,2,32,16,0.5,3,1,2.0,Medium
530,031a72e0-371a-da0d-f522-66c066306da6,2,14,0,0.0,2,1,1.5,Low
547,03311e7f-0d98-e973-1247-3b222cae35db,4,92,53,0.5760869565217391,4,2,3.0,High
553,0339b930-445e-20e9-dac1-26273152faa7,5,80,2,0.025,4,2,3.0,High
559,03432509-95b6-c94a-7fab-3504f0745c16,5,21,16,0.7619047619047619,2,2,2.0,Medium
574,03586774-cf48-cc56-7672-d3bdb11c6046,2,42,9,0.2142857142857142,3,1,2.0,Medium
584,036a7d59-f54e-38dc-641c-aec4c74b117e,2,7,1,0.1428571428571428,2,1,1.5,Low
585,036de693-a6e5-cfc9-17d8-a6f0564a3fe9,2,10,3,0.3,2,1,1.5,Low
594,0378fd76-34b2-b75e-3431-f6a82225bba3,3,52,0,0.0,4,1,2.5,Medium
615,039141f3-9dbd-d4e2-3efe-be1d68e114c9,3,97,2,0.0206185567010309,4,1,2.5,Medium
636,03a4b72c-97d7-f2c5-6750-3a680e04f47c,2,120,0,0.0,4,1,2.5,Medium
638,03a89430-48c3-a8e4-9620-de6eadc676fb,2,54,26,0.4814814814814814,4,1,2.5,Medium
639,03a9d33c-3700-0449-0c14-97d863a62335,2,105,46,0.4380952380952381,4,1,2.5,Medium
641,03ad0417-6b97-94d9-1067-52e8f44a4265,2,49,14,0.2857142857142857,3,1,2.0,Medium
650,03b55cec-0dd3-7e72-47e3-81fa8c6d56ae,2,35,17,0.4857142857142857,3,1,2.0,Medium
658,03c47ebb-fbc1-b4c0-9718-c754ca08c6fe,2,15,0,0.0,2,1,1.5,Low
659,03c5dbd7-76b6-8ab3-4464-e94e60eaec89,3,152,65,0.4276315789473684,4,1,2.5,Medium
661,03c78add-973c-5ed1-a249-283ad37c9230,2,8,0,0.0,2,1,1.5,Low
662,03c84af0-d098-f2a5-f67e-76d0752ab35e,2,23,0,0.0,2,1,1.5,Low
667,03dc1412-c86f-adaa-b1b1-97c4932dc6c1,2,75,1,0.0133333333333333,4,1,2.5,Medium
668,03dca1b0-aeee-f15f-ea99-90645da96665,2,9,0,0.0,2,1,1.5,Low
684,03f310bf-50b8-2c1c-157c-c164866794da,2,22,0,0.0,2,1,1.5,Low
686,03f5e1e8-2982-0a33-0614-c0abce5b03c0,2,14,7,0.5,2,1,1.5,Low
687,03f67c5e-a169-f490-7b93-40a802f6f4f5,2,13,1,0.0769230769230769,2,1,1.5,Low
694,04051f08-c693-f3c7-0d0e-169dc05f74b7,2,32,0,0.0,3,1,2.0,Medium
702,041352ee-ba2d-5b73-7002-c4855c45c7a6,2,54,0,0.0,4,1,2.5,Medium
711,041ab6ce-f70a-8e6c-d384-5542660c2f06,2,38,0,0.0,3,1,2.0,Medium
714,041dbb08-03ba-eb6b-d13f-1f8f084c8098,2,101,0,0.0,4,1,2.5,Medium
720,042436c0-ade9-7ca2-9b95-d4c7adb48800,2,8,8,1.0,2,1,1.5,Low
723,04263dbb-3cb9-c203-63c8-9ce28049dc44,2,200,0,0.0,4,1,2.5,Medium
727,042fd300-ec55-eaab-f1a7-515e76d3be45,3,61,25,0.4098360655737705,4,1,2.5,Medium
729,0431ecf6-2edb-69d6-aac9-237c40cf2f43,2,18,0,0.0,2,1,1.5,Low
735,043d0f90-b8b0-7ef4-ec2d-886ce21fadc1,6,133,11,0.0827067669172932,4,3,3.5,High
744,04428acb-8de5-8f12-df89-ce5409b37c3e,3,115,30,0.2608695652173913,4,1,2.5,Medium
745,044292fa-e901-f7a3-5f13-46d73e0740d9,2,14,0,0.0,2,1,1.5,Low
749,04480b55-1a20-1063-82f7-c59b8124ea62,8,17,9,0.5294117647058824,2,4,3.0,High
756,04522730-ecd8-2ec7-1621-ec196ce928b3,2,6,3,0.5,2,1,1.5,Low
757,04538004-1192-c422-98f0-0fb5f3c3fd6d,2,6,0,0.0,2,1,1.5,Low
766,045dd318-b289-2a12-cf7d-145dd5b9788c,5,8,3,0.375,2,2,2.0,Medium
767,045ec9eb-3107-88dd-0991-e0921f0c7068,2,25,0,0.0,2,1,1.5,Low
770,04641800-894b-725a-85f3-f3f0c2d16a02,4,13,7,0.5384615384615384,2,2,2.0,Medium
771,04646236-74c8-e041-aea8-252902658026,6,35,1,0.0285714285714285,3,3,3.0,High
774,046809b3-dc32-3202-3679-cba8f2a82187,2,9,0,0.0,2,1,1.5,Low
782,0472d473-2f31-f893-e077-09d1486e98cf,2,197,196,0.9949238578680204,4,1,2.5,Medium
785,047654af-42fa-c2cc-7e6e-ddab578bcd63,2,17,3,0.1764705882352941,2,1,1.5,Low
789,047d0066-d95e-09ac-31bd-827da8a18daf,3,6,0,0.0,2,1,1.5,Low
807,04930fe8-b35f-17d2-85b2-0b59b59b22fc,2,111,53,0.4774774774774775,4,1,2.5,Medium
813,049a0ff5-11fe-9a68-f316-57cae51bf614,2,7,2,0.2857142857142857,2,1,1.5,Low
814,049b41c9-e605-ee2a-6ade-4eb16c974fb7,2,16,3,0.1875,2,1,1.5,Low
815,049b79d1-9d8a-4137-6076-e0ae371e99b7,2,18,2,0.1111111111111111,2,1,1.5,Low
819,04a13304-0b2d-ad60-860d-22d6af1ef3cb,2,78,15,0.1923076923076923,4,1,2.5,Medium
820,04a19709-db7f-dff5-1a86-b551f5a61e8b,2,14,0,0.0,2,1,1.5,Low
822,04a1df8d-985c-3ffe-a682-4f4fffdb5071,4,10,6,0.6,2,2,2.0,Medium
823,04a319e2-e5a3-55f3-ce97-f57761545a86,2,38,13,0.3421052631578947,3,1,2.0,Medium
829,04a82a8c-b507-5157-4834-f489a765a20f,2,13,2,0.1538461538461538,2,1,1.5,Low
830,04a85a3a-04d1-28d3-20a2-4c7deb57dbef,2,18,9,0.5,2,1,1.5,Low
832,04a8b754-6a7a-1784-3098-79b9e778ffc5,2,56,0,0.0,4,1,2.5,Medium
839,04b2969f-8f55-f5a8-dcc7-2e9c4ecf7940,2,7,1,0.1428571428571428,2,1,1.5,Low
847,04bc2f38-d352-bd4f-0966-41277913556e,2,5,0,0.0,1,1,1.0,Low
848,04bcbe2f-1414-4910-a018-bc9169b8f791,2,21,3,0.1428571428571428,2,1,1.5,Low
852,04c36c05-d1de-e25e-7f7f-eb1c9649db0e,3,12,7,0.5833333333333334,2,1,1.5,Low
855,04c87770-cfb8-b3d5-b7e9-3b8089ece883,4,150,108,0.72,4,2,3.0,High
859,04cb9c14-e66a-be5f-8154-b51e1c865870,2,19,4,0.2105263157894736,2,1,1.5,Low
871,04e7a3cb-c006-2c05-4141-040ccaa064fd,5,129,70,0.5426356589147286,4,2,3.0,High
882,04fb7c4c-6be2-58c9-12f9-f25d51263fc4,3,44,15,0.3409090909090909,3,1,2.0,Medium
883,04fb840e-22ef-6b31-2e84-6735ae7f226f,2,14,7,0.5,2,1,1.5,Low
894,05093fed-bc53-31ff-7365-034fec14c639,2,31,0,0.0,3,1,2.0,Medium
895,05095759-6db1-41c4-27ea-515952fb9646,2,20,0,0.0,2,1,1.5,Low
896,050d8be8-0e4b-63c6-937a-f5d85cd7a972,2,8,4,0.5,2,1,1.5,Low
901,05156cac-fcfd-a3a3-be1b-dc3d155f352c,3,12,6,0.5,2,1,1.5,Low
907,051e90d2-1d46-767f-a239-720a61b4176f,2,5,1,0.2,1,1,1.0,Low
911,0528a41f-0dd6-350c-e699-03ba0fc34f87,2,5,0,0.0,1,1,1.0,Low
919,0533edfa-e86a-00c6-29b0-45c6aae5b2bc,3,45,13,0.2888888888888888,3,1,2.0,Medium
921,05388778-52a9-22b7-6bb8-896d7722c5a2,3,15,0,0.0,2,1,1.5,Low
922,05391950-5acc-9334-f819-d4c0615dfbbb,2,5,0,0.0,1,1,1.0,Low
928,0543522d-948b-7911-c0e7-da40cc067f4e,4,130,29,0.2230769230769231,4,2,3.0,High
940,0551f53f-f65f-c018-3725-1477e292002a,2,80,24,0.3,4,1,2.5,Medium
944,0556ee45-5a35-0356-b860-8c6a38c93705,2,10,0,0.0,2,1,1.5,Low
953,05680473-8601-8f0e-31d2-f9d27db0be28,10,76,21,0.2763157894736842,4,4,4.0,High
970,057c9861-18de-819b-409b-d06cbff5fbfd,5,45,2,0.0444444444444444,3,2,2.5,Medium
971,057cfe7a-7c1a-9a6d-7a12-81ef83dc33a7,2,44,14,0.3181818181818182,3,1,2.0,Medium
975,05846e2f-82f8-9a9b-e088-639aab6e0ab2,2,20,10,0.5,2,1,1.5,Low
977,0586d0fb-6594-8e95-d50e-f02281297fcd,2,182,0,0.0,4,1,2.5,Medium
988,0593a3f6-862f-623e-1e78-9fce37c259e2,2,168,0,0.0,4,1,2.5,Medium
993,05980fcd-8ed2-4705-b823-edeee326d0ab,8,24,12,0.5,2,4,3.0,High
994,0598c445-abd0-3f4a-fc02-93108ce68077,3,177,75,0.423728813559322,4,1,2.5,Medium
999,05a05dcf-a618-6462-ce77-f8b9f28154c6,3,27,5,0.1851851851851851,2,1,1.5,Low
1005,05a83355-971b-b4ed-8ee9-2955b2c18abb,2,15,0,0.0,2,1,1.5,Low
1006,05ae9851-fd76-b7e4-52b4-2caabe8ef640,3,30,0,0.0,2,1,1.5,Low
1009,05b3ecf7-c101-83d1-02e5-5bad1e22853d,2,69,3,0.0434782608695652,4,1,2.5,Medium
1014,05b8c1f2-f847-5495-4a70-830378f0b759,5,25,2,0.08,2,2,2.0,Medium
1027,05cabaaf-ddec-3c26-5d11-4ea8c8e8c1fb,4,70,40,0.5714285714285714,4,2,3.0,High
1033,05d374b9-9481-f85f-9df7-f40e890b17a0,2,9,2,0.2222222222222222,2,1,1.5,Low
1037,05d82573-139f-1605-7ae4-9beaecc7e61b,2,31,0,0.0,3,1,2.0,Medium
1044,05e13714-d0e7-0cba-b304-332141216062,6,12,7,0.5833333333333334,2,3,2.5,Medium
1046,05e2f208-c33b-2620-6632-736f39d4148e,2,17,8,0.4705882352941176,2,1,1.5,Low
1049,05e61062-e71c-b588-039b-b125781ee988,2,18,5,0.2777777777777778,2,1,1.5,Low
1060,05faa995-bce0-5a4c-a344-9d2287c68d0e,2,7,1,0.1428571428571428,2,1,1.5,Low
1062,05fbb778-3d64-78a2-838c-229774b28ff4,2,75,18,0.24,4,1,2.5,Medium
1065,05fdcf2b-d23f-7f48-f0c1-411adbb5f2e4,3,80,30,0.375,4,1,2.5,Medium
1068,0601dc62-48e2-2c9a-7771-b3ad2c4b2f48,3,21,13,0.6190476190476191,2,1,1.5,Low
1069,06025a96-742d-81bc-aae9-f39dcaa9000c,5,103,34,0.3300970873786408,4,2,3.0,High
1070,0602ab8e-b102-c926-c267-a9b70897d303,3,9,5,0.5555555555555556,2,1,1.5,Low
1079,060ca7fb-86b4-42b9-4e77-fdba3e6f4c99,4,95,0,0.0,4,2,3.0,High
1082,060fd67c-ba91-66fb-577b-b5f18b10bd36,6,18,9,0.5,2,3,2.5,Medium
1087,0616a890-a2bb-934a-518f-5494526a5157,4,31,24,0.7741935483870968,3,2,2.5,Medium
1089,06199a9e-7e1f-65ca-ba1d-65b143413626,7,133,74,0.556390977443609,4,3,3.5,High
1090,061a1004-0ae3-eda0-4c95-c6c92033054d,3,13,2,0.1538461538461538,2,1,1.5,Low
1091,061b54ae-eaeb-e549-c219-ed4194eb4bbc,2,16,9,0.5625,2,1,1.5,Low
1093,0620ac8b-a153-b334-ac0a-e602195165cb,2,59,28,0.4745762711864407,4,1,2.5,Medium
1097,0626f99f-7b00-74af-f4df-621647579f56,2,16,1,0.0625,2,1,1.5,Low
1110,063ff0fc-6331-096c-39b2-0d4ef276c5ca,6,40,23,0.575,3,3,3.0,High
1114,06461256-2b81-54f2-cbe8-b964b0c75ed6,3,8,3,0.375,2,1,1.5,Low
1117,06479be9-327e-0c26-5a7e-58bade918bd8,2,63,2,0.0317460317460317,4,1,2.5,Medium
1119,06491ee0-811e-e8d6-3f7d-ff353dae9730,2,179,7,0.0391061452513966,4,1,2.5,Medium
1120,064acead-7114-72b3-7bb1-f1e8f96c7a93,2,5,2,0.4,1,1,1.0,Low
1127,0657446b-feff-a018-dc18-7e5013f73915,2,34,1,0.0294117647058823,3,1,2.0,Medium
1128,065b04a2-b575-9187-2d11-ab86fc082a12,3,29,11,0.3793103448275862,2,1,1.5,Low
1133,0662d671-ffa6-e22c-47f3-83614ae4d9d8,2,199,106,0.5326633165829145,4,1,2.5,Medium
1135,0664ff2f-39ab-2c7e-578b-8cfb7ba57108,2,77,0,0.0,4,1,2.5,Medium
1144,0678666b-c0da-addf-b474-177e715fe168,2,27,10,0.3703703703703703,2,1,1.5,Low
1146,067f7182-bc74-90c0-ac6e-fc6e4e075397,3,56,16,0.2857142857142857,4,1,2.5,Medium
1147,067fe50a-927c-33b5-ebce-29336ee3cae0,2,8,4,0.5,2,1,1.5,Low
1152,068d0036-8c08-b4d4-f8b0-38b02cbae1f3,7,40,2,0.05,3,3,3.0,High
1154,06905ec5-53b0-fcb2-f017-f24de2cd8879,2,20,10,0.5,2,1,1.5,Low
1158,069520a7-91cc-7f06-31b0-a749120392f6,4,153,151,0.9869281045751634,4,2,3.0,High
1163,069a8012-165d-20a0-fa6a-1b7a9ece3104,2,38,0,0.0,3,1,2.0,Medium
1165,06a003e8-fcd8-63ad-f47c-f0c32127e525,6,104,11,0.1057692307692307,4,3,3.5,High
1166,06a05987-61f3-d62e-d1f0-e479edd51ed0,2,134,46,0.3432835820895522,4,1,2.5,Medium
1171,06a5c7f7-9881-5676-17d8-308bc96c6729,4,67,38,0.5671641791044776,4,2,3.0,High
1174,06aa32e3-3dd4-94ae-b73f-e8f95d44e5cd,2,120,5,0.0416666666666666,4,1,2.5,Medium
1178,06b0f17f-bfc0-6ea8-c2ee-ad7053deb441,3,16,2,0.125,2,1,1.5,Low
1185,06bb2ecc-1505-7ee6-3142-4cf2c36a6f4a,4,28,6,0.2142857142857142,2,2,2.0,Medium
1186,06bb5e18-6bb3-8729-8848-1ea6672bed3e,2,12,2,0.1666666666666666,2,1,1.5,Low
1188,06bdce67-e035-39d5-c972-04b52fd9b679,3,14,2,0.1428571428571428,2,1,1.5,Low
1193,06c52ed4-6f9a-2cb5-9d0a-e79231957aa6,2,151,27,0.1788079470198675,4,1,2.5,Medium
1212,06db95e0-285f-2f27-b28f-5183554b8f48,3,86,0,0.0,4,1,2.5,Medium
1216,06e12296-5ca1-706f-a000-f04686092af9,5,130,82,0.6307692307692307,4,2,3.0,High
1219,06e80991-296c-c1f5-94af-4e0a294315f9,3,170,125,0.7352941176470589,4,1,2.5,Medium
1223,06f9f672-1d95-e3c4-0e66-cca1a716ccb6,5,47,21,0.4468085106382978,3,2,2.5,Medium
1224,06fa6389-1f91-6a49-2f08-171530f57564,2,8,4,0.5,2,1,1.5,Low
1229,06fe1af8-58a3-8ad8-be81-b47417388a1d,2,12,3,0.25,2,1,1.5,Low
1230,06ff0ccf-f422-59ba-e50e-610a4f883ae4,3,88,66,0.75,4,1,2.5,Medium
1237,070a8b60-2f10-9387-f13c-812466ddc4de,2,180,30,0.1666666666666666,4,1,2.5,Medium
1238,070ac680-e2be-4bd5-4009-6bf889f8ad48,6,151,12,0.0794701986754966,4,3,3.5,High
1240,070ee02b-82f5-36ca-edcd-dc4b3f2a5ff3,5,11,7,0.6363636363636364,2,2,2.0,Medium
